Date,City,State or      Country,Cat,,,BB,"NC flag",LC,Description
520701 (http://www.nicap.org/520701fortmonmouth_dir.htm),Fort Monmouth,NJ,9,R,5,BBU,,,"2 big lights about 20 ft diameter fly straight and level, G,V"
520702 (http://www.nicap.org/520702tremonton_dir.htm),Tremonton,UT,8,I,5,,,,"The Tremonton, Utah / Newhouse Color Film"
520703 (http://www.nicap.org/selfridge520723dir.htm),Selfridge AFB,MI,1,,,1380,,,2 big lights about 20 ft diameter
520703,Chicago,IL,1,,,1382,,,2 bright pastel green discs fly straight and level very fast
520705,"Elmendorf AFB, Anchorage",AK,1,,,BBU,,,(FUFOR Index)
520705,Richland,WA,10,,,BBU,,,Hanford Atomic Works - perfect circular white disc above the site
520705 (http://www.nicap.org/520705norman_dir.htm),Norman,OK,11,A,5,1390,,,Three Dark Discs Sighted From State Patrol Airplane
520705 (http://www.nicap.org/520705hanford_dir.htm),Hanford AEC Plant (at Richland),WA,11,A,5,,NC,,C-46 Crew Observe Disc Over AEC Plant
520706-12,Governors Island,NY,8,,,1397,,,4 photos of some indistinct light
520709 (http://www.nicap.org/colosprings520709dir.htm),Colorado Springs,CO,1,,,1405,,,"object shaped like an airfoil less its trailing edge, luminous white, move slowlyand erratically. 12-mins. (Berliner)"
520709,Kutztown,PA,1,,,1409,,,"aluminum, oval-shaped object change direction"
520709 (http://www.nicap.org/rapidcity520709dir.htm),Rapid City AFB,SD,1,,,BBU,,,"A sergeant and three airmen reported that three milky white discs were between30,000 and 40,000 feet. The airmen observed the objects which appeared between3 and 4 inches in diameter (at arm’s length), moving faster than any jet aircraftthey have seen (FUFOR Index)"
520710 (http://www.nicap.org/520710quantico_dir.htm),Quantico (near),VA,11,A,5,BBU,,,Light Maneuvers Near C-60 Airliner
520710 (http://www.nicap.org/520710korea_dir.htm),Korea (near),Korea,9,R,0,,,,Navy Destroyer Observes Two Discs / Tracks On Radar
520712 (http://www.nicap.org/anna520712dir.htm),Annapolis,MD,1,,,1431,,,"3:30 p.m. Insurance company president William Washburn saw 4 large, elliptical-shaped objects fly very fast, stop, turn 90° and fly away. 7-8 secs. (Berliner)"
520712 (http://www.nicap.org/520712arlington_dir.htm),Arlington,IL,9,R,5,,,,F-86 On Scramble Mission / Strange Radio Transmission
520712 (http://www.nicap.org/520712arlington_dir.htm),Arlington,IL,11,,,BBU,,,"oblong yellowish lighted object with a trail flying in a straight course (Project1947)"
520712 (http://www.nicap.org/520712williamsbay_dir.htm),Williams Bay,WI,9,R,5,,,,"radars had picked up strange objects in several areas heading west and north atdifferent altitudes, 3000 mph and above."
520712,Chicago,IL,1,,,,,,"Air Force weather officer, many others at Montrose Beach saw large red objectwith small white lights on side reverse course directly overhead. [UFOE, III]"
520712,Greenfield (near),IN,11,,,BBU,,,co-pilot saw object paralleling the plane then dropping down
520712 (http://www.nicap.org/dayton520712dir.htm),Dayton,OH,11,,,BBU,,,"2 brilliant round white lights hovering at 21,000 ft"
520712 (http://www.nicap.org/520712kirksville_dir.htm),Kirksville,MI,9,R,5,1436,,,"several big radar blips tracked at 1,500 knots"
520712 (http://www.nicap.org/520712williamsbay_dir.htm),Williams Bay,WI,9,R,5,,,,Three Radars Track Objects At High Speed
520712 (http://www.nicap.org/520712belleville_dir.htm),Belleville,IL,9,R,5,,,,Five Radar Tracks In 50 Minutes
520713 (http://www.nicap.org/520713fordland_dir.htm),Fordland,MO,9,R,5,,,,"Very Large Object Tracked, No Visual"
520713 (http://nicap.org/washington520713dir.htm),Washington (60 miles SW of ),D.C.,11,,,BBU,,,saw round ball of bluish-white light hovering Bruen Case (AL)
520713 (http://www.nicap.org/520713osceoladir.htm),Osceola,WI,9,R,5,,,,Eleven UFOs Tracked On Radar
520714 (http://www.nicap.org/520714norfolk_dir.htm),Norfolk (20-25 miles N of ),VA,11,A,5,1444,,,Nash/Fortenberry Case (AL)
520714 (http://www.nicap.org/docs/520714langleyafb.htm),Langley AFB,VA,11,,,,,,OSI doc confirms Nash/Fortenberry Incident
520714 (http://nicap.org/okinawa520714dir.htm),Okinawa (near),Guam,1,,,,,,"a spherical object to the north of the base. The object was moving straight down,but its course changed immediately as it moved to the northeast across the sky"
520714 (http://www.nicap.org/520714hollomanafb_dir.htm),Holloman AFB,NM,9,R,5,,,,strange red and green lights slowly rolling between the aircraft
520715 (http://www.nicap.org/520714mcChordafb_dir.htm),McChord AFB (20 miles S of ),WA,11,A,5,BBU,,,"Object ""Rolling"" Between Two Fighters"
520715,West Palm Beach,FL,1,,,1451,,,"discus-shaped object, greyish, except when hovering"
520715 (http://nicap.org/pendleton520715dir.htm),Pendleton,OR,1,,,,,,"Many civilians in 5 cars and an Oregon State Trooper observed a spherical-shapedobject"
520716,Hampton Roads,VA,1,,,BBU,,,2 amber-colored objects approach from the S
520716,Beverly,MA,8,,,1501,,,roughly elliptical irregular blobs of light in formation filmed
520717 (http://nicap.org/batesville520717dir.htm),Batesville,MS,1,,,,,,"State Highway Patrolmen observed two or three round blue flourescent coloredobjects approximately 100 feet in diamter. The objects were observed forapproximately 30 minutes."
520717 (http://nicap.org/whiteplains520717dir.htm),White Plains,NY,1,,,1502,,,"2 round objects, bluish white with brighter rims, fly in formation"
520717 (http://nicap.org/lockbourne520717dir.htm),Lockbourne AFB,OH,1,,,1476,,,amber-colored elliptical-shaped object with a small flame
520717 (http://nicap.org/rapidcity520717dir.htm),Rapid City,SD,1,,,1479,,,Military (USAF?) witness(es).
520717 (http://nicap.org/tsuiki520717dir.htm),"Tsuiki Air Base, Kyushu",Japan,1,,,,,,"a formation of twelve circular luminous objects moving in the same direction asballoons just released"
520718 (http://nicap.org/lockbourne520718dir.htm),Lockbourne AFB,OH,1,,,1482,,,a light like a big star that disappeared when an aircraft approached
520718 (http://nicap.org/miami520718dir.htm),Miami,FL,1,,,1483,,,"opaque, silvery bubble fly very fast at a right-angle to the wind"
520718 (http://www.nicap.org/520718patrickAFB_dir.htm),Patrick AFB,FL,1,D,5,1485,,,series of hovering and maneuvering red-orange lights
520718,Denver,CO,11,,,,,,Carpenter Case (AL)
520718,Lac Chauvet,France,8,,,,,,Fregnale Photos
520719 (http://www.nicap.org/5207xxdir.htm),Savanna River,SC,2,,,,,,Hundreds of employees from AEC witnessed UFO cavort
520719,unknown location,Unknown,1,,,BBU,,,"2 cigar-shaped objects, one hovering the other moving to the E (Battelle Unknown#4)"
520719,Porto Maldo,Peru,8,,,,,,"Photograph of oval UFO taken by customs official. [UFOE, VIII]"
520719,River Edge,NJ,1,,,,,,"Associated Press reporter Saul Pett about midnight  saw an intensely glowing, non-blinking orange ball of light moving steadily overhead from the northwest to thesoutheast for 1-2 minutes"
520719,Williston,ND,1,,,1492,,,"elliptical-shaped object with a light fringe, descend fast"
520719 (http://www.nicap.org/520719lavalette_dir.htm),Elkins Park,PA,1,D,5,1494,,,"saw 2 star-like lights maneuver, hover and speed"
520719 (http://www.nicap.org/520719washington_dir.htm),Washington,DC,8,I,0,,,,Famous Photo of Objects Over Capitol
520719-20 (http://www.nicap.org/520719wnsdir.htm),Washington,D.C.,9,R,5,BBU,,,"Washington National Airport Air Route Traffic Control radar tracked the UFO towithin about 4 miles of the airport (1st event)"
520719-20 (http://www.nicap.org/520719wnsdir.htm),Washington,D.C.,11,,,BBU,,,"Washington National Airport Air Route Traffic Control radar tracked the UFO towithin about 4 miles of the airport (1st event)"
520720,Washington,D.C.,11,,,,,,Pierman/Wheaton Case (AL)
520720 (http://www.nicap.org/520719lavalette_dir.htm),Lavalette,NJ,1,D,5,1504,,,2 large orange-yellow lights with some dull red color fly in trail
520720 (http://www.nicap.org/520720andrewsafb_dir.htm),Andrews AFB,MD,9,R,5,,,,Air Force radar tracked up to 10 UFOs for 15-20 minutes
520720,Andrews AFB (2),MD,9,,5,,,,Air Force radar tracked up to 10 UFOs for 15-20 minutes
520720 (http://www.nicap.org/520720andrewsafb3_dir.htm),Andrews AFB (3),MD,9,R,5,,,,Air Force radar tracked up to 10 UFOs for 15-20 minutes
520720 (http://www.nicap.org/520720herndon_dir.htm),Herndon,VA,9,R,5,,,,Airlines Flight Visual / Ground Radar Tracks
520720 (http://www.nicap.org/520720herndon_dir.htm),Herndon,VA,11,,,,,,Airlines Flight Visual / Ground Radar Tracks
520721 (http://www.nicap.org/balt520721dir.htm),Baltimore,MD,1,,,,,,"Brilliant orange, cone-shaped object size of four engine aircraft sighted at 15,000to 20,000 feet then dove to 2000 feet"
520721 (http://www.nicap.org/520721dobbinsAFBdir.htm),Dobbins (Turner AFB),GA,9,R,5,BBU,,,Blip Makes Passes On Wind-Finding Target
520721 (http://www.nicap.org/520721wiesbaden_dir.htm),Wiesbaden,West Germany,11,A,5,1514,,,Separated Witnesses Observe Maneuvering Lights
520721 (http://nicap.org/sanmarcos520721dir.htm),San Marcos AFB,TX,1,,,1516,,,a blue circle with a blue trail hover then accelerate
520721 (http://nicap.org/randolph520721dir.htm),Randolph AFB,TX,1,,,1522,,,"an elongated, fuselage-shaped object fly straight and level"
520721 (http://www.nicap.org/holyoke520722dir.htm),Holyoke,MA,1,,,1524,,,"round, yellow, flashing light fly downward"
520721,Dobbins (Turner AFB),GA,9,,5,,,,"Dobbins AFB, Georgia, G"
520721 (http://www.nicap.org/520721beluga_dir.htm),Beluga Lake,AK,9,R,5,,,,Aircraft Has Radar Contact But No Visual
520722 (http://nicap.org/rockville520722dir.htm),Rockville,IN,1,,,1533,,,an aluminum delta-shaped object with vertical fin
520722 (http://www.nicap.org/520722uvalde_dir.htm),Uvalde,TX,1,D,5,1536,,,"large, round, silver object fly at 1,000+ mph while gyrating"
520722 (http://www.nicap.org/520722maxwelldir.htm),Maxwell,TX,1,,,,,,"At 2240 CST one bluish green object was observed at 8,000 feet. The objectclimbed to 14,000 in arc very rapid."
520722 (http://www.nicap.org/alamos520722dir.htm),Los Alamos,NM,1,,,1538,NC,,"saw 8 large, round, bright aluminum objects fly straight and level"
520722 (http://www.nicap.org/520722braintree_dir.htm),"Boston (near Braintree betweenProvincetown and)",MA,9,R,5,1556,,,F-94B Chases Object / With Airborne radar Tracking
520722 (http://www.nicap.org/520722braintree_dir.htm),"Boston (near Braintree betweenProvincetown and)",MA,11,,,1556,,,F-94B Chases Object / With Airborne radar Tracking
520722 (http://www.nicap.org/mobile520722dir.htm),Brookley AFB (Mobile),AL,1,,,BBU,,,"barrel-shaped black object 3.5-4 ft diameter, emitting black smoke trail"
520722 (http://www.nicap.org/520722petersonfld_dir.htm),Peterson Field (12 miles E of ),CO,11,A,5,BBU,,,ADC Personnel In Cessna See Silver Object
520722 (http://www.nicap.org/520722nsmyrna_dir.htm),New Smryna (near),FL,11,A,5,,,,Very Large Disc Sighted By Private Pilot
520722,Stafford,VA,1,,,1654,,,bright ovoid object hover then move in stops and starts
520723 (http://www.nicap.org/520723longbeach_dir.htm),Long Beach,CA,1,D,5,,,,Oval Object Zig Zags Over Naval Ship Yard
520723 (http://www.nicap.org/520723culvercity_dir.htm),Culver City,CA,1,D,5,,,,Two Discs Emerge From Elliptical Object
520723 (http://www.nicap.org/520723washington_dir.htm),Washington,DC,11,A,0,,,,"Saucer Hit By Jet Gunfire, Fragment Recovered? No Evidence."
520723 (http://www.nicap.org/alexandria520723dir.htm),Alexandria,VA,1,,,,,,"9:00 p.m. A red object, size undetermined, was sighted southwest of Alexandria,Virginia. The object hovered for 10 minutes, then disappeared in a westerlydirection at a high rate of speed"
520723 (http://www.nicap.org/boston520723dir.htm),Boston,MA,11,,,BBU,,,[Same as or continuation of July 22 sightings near Braintree?]
520723 (http://www.nicap.org/520723jamestown_01_dir.htm),Jamestown,RI,9,R,5,BBU,,,"USN radar tracked high speed target heading N at 42,000 ft"
520723 (http://www.nicap.org/520723jamestown_02_dir.htm),Jamestown,RI,9,R,5,BBU,,,"Jets Scrambled Again / High Speed Target At 42,000'"
520723 (http://www.nicap.org/japan520723dir.htm),Misawa AFB (E of ),Japan,11,,,BBU,,,USAF pilot flying F-94 jet fighter chased blue-green fireball.
520723 (http://www.nicap.org/pottsdown520723dir.htm),Pottstown,PA,11,,,1554,,,"silver object, shaped like a long pear with 2-3 squares beneath"
520723 (http://nicap.org/altoona520723dir.htm),Altoona,PA,11,,,1567,,,3 cylindrical objects in a vertical stack formation
520723 (http://www.nicap.org/520723trenton_dir.htm),Trenton,NJ,9,R,5,1572,,,Crews of several USAF F-94 jet interceptors saw 13 visuals
520723 (http://www.nicap.org/520723trenton_dir.htm),Trenton,NJ,11,,,1572,,,Crews of several USAF F-94 jet interceptors saw 13 visuals
520723 (http://www.nicap.org/520723santacruz_dir.htm),Santa Cruz,CA,9,R,5,,,,"""Possible GCI Sighting"" of Circular Lights"
520723 (http://www.nicap.org/springfield520723dir.htm),Springfield,OH,1,,,,,,"Bt. 8:05 and 10:15 p.m.  two lights, some described them as white globes, wereseen high in the sky."
520723 (http://nicap.org/sbend520723dir.htm),South Bend,IN,11,,,1578,,,"USAF pilot Capt. H. W. Kloth saw 2 bright blue-white objects flying together,then the rear one veered off. 9 mins. (Berliner"
520723 (http://www.nicap.org/nahant520723dir.htm),Nahant,MA,1,,,,,,"2:15-218 a.m. A Seaman on watch at Nahant Coast Guard Station observed two (2)bluish lights approximately 5 feet in diameter, appearing as flat, disc-shapedobjects having no aerodynamic features"
520723,Braintree,MA,9,,5,,,,"G,A,V"
520723 (http://www.nicap.org/lockbourne520723dir.htm),Lockbourne AFB,OH,1,,,,,,"Numerous witnesses observed four (4) objects hovering in the vicinity of theLockbourne AFB, Columbus, Ohio. The objects were round and flourescent whitein color."
520723 (http://www.nicap.org/lockbourne520723dir.htm),Lockbourne AFB,OH,11,,,,,,"Numerous witnesses observed four (4) objects hovering in the vicinity of theLockbourne AFB, Columbus, Ohio. Two F-84 jets were dispatched fromLockbourne AFB, but were unable to identify the objects. Approximately 90 percent of the personnel at the base observed the objects"
52Summer (http://www.nicap.org/52SUMRmacdillafb_dir.htm),MacDill AFB,FL,9,R,5,,,,"USAF Colonel, B-29 pilot investigated radar target, saw glowing ellipse whichreversed direction and sped away. [UFOE, III]"
520724 (http://www.nicap.org/520724carsonsink_dir.htm),Carson Sink,NV,11,A,5,1584,,,B-26 Crew Encounters 3 Triangular UFOs
520724 (http://nicap.org/clovis520724dir.htm),Clovis (Clovis AFB),NM,1,,,,,,"2 oval-shaped objects, reddish-orange neon glow, approx 3-4 mi high and trav Eapprox speed 400-600 MPH. In formation approx 1-11⁄2 mi apart on level course-no vapor trails, no sound. Duration approx 4 mins"
520724 (http://nicap.org/travis520724dir.htm),Travis AFB,CA,1,,,1588,,,"At 2215 hours PDST, thirteen witnesses of the 1501st Maintenance Squadronobserved a round object with a reddish center with a halo around the object.(NARA)"
520724 (http://www.nicap.org/520724elmendorf_dir.htm),"Elmendorf AFB, Anchorage",AK,9,R,5,BBU,,,(FUFOR Index) F-94 Makes Radar Contact
520724 (http://www.nicap.org/520724macdill_dir.htm),MacDill AFB,FL,9,R,5,,,,"USAF Colonel, B-29 pilot investigated radar target, saw glowing ellipse whichreversed direction and sped away. [UFOE, III]"
520725 (http://www.nicap.org/osceola520725dir.htm),Osceola,WI,9,R,1,,,,Ground Radar and Air Visuals
520725 (http://www.nicap.org/520725manassas_dir.htm),Manassas,VA,11,A,5,,,,F-94 Checks Out Object Sighted By 647th AC&W
520725,Wilmington,DE,1,,,BBU,,,Afternoon VA employee saw 2 discs reflecting light in a climb
520726 (http://www.nicap.org/520726norfolk_dir.htm),"Hampton (and between Newport Newsand Langley AFB)",VA,9,R,5,BBU,,,Navy Ground Radar / & Airborne Radars Track UFOs
520726,Kansas City,MO,1,,,1628,,,light with red-orange flashes descend in the NW
520726,"Kirtland AFB, Albuquerque",NM,1,,,1637,NC,,8-10 orange balls in triangular or V-formation flying fast
520726 (http://www.nicap.org/520726williams_dir.htm),Williams,CA,9,R,5,BBU,,,F-94 Intercept With ADC Detection
520726 (http://www.nicap.org/520726langley_dir.htm),Langley AFB,CA,9,R,5,,,,"At 1450 hours an unidentified target was observed on a radar scope. The targetstopped and hovered for 2 minutes and then resumed its flight at an extremely highspeed."
520726-27 (http://www.nicap.org/520726wnsdir.htm),Washington - Andrews AFB,D.C.,9,R,5,1661,,,Andrews AFB and Washington National Airport (2nd event)
520726-27 (http://www.nicap.org/520726wnsdir.htm),Washington - Andrews AFB,D.C.,11,,,1661,,,Andrews AFB and Washington National Airport (2nd event)
520726 (http://www.nicap.org/520726plainview_dir.htm),Plainview,TX,11,A,5,BBU,,,T-33 Crew Encounters Light
520726,New York City (Atlantic 200 miles S of),NY,1,,,BBU,,,3 amber edged [?] white flashing objects traveling at Mach 1
520726 (http://www.nicap.org/520726florence_dir.htm),Florence,SC,11,A,5,BBU,,,Eastern Flight 606 Encounters H. S.  Light
520727 (http://www.nicap.org/520727belleville_dir.htm),Belleville,IL,9,R,1,,,,Four Large Objects Tracked On Ground Radar
520727 (http://nicap.org/wilm520727dir.htm),Wilmington,DE,1,,,,,,"James R. Thomas observed one cylindrical object with a domed top and bottommoving northwest to southeast"
520727,Wilmington,DE,1,,,1664,,,[Same as July 25 case?] (NARA)
520727 (http://www.nicap.org/520727columbus_dir.htm),Columbus (10 miles SSW of),OH,11,A,5,BBU,,,B-25 Crew & Pentagon Brass See Lights
520727,Selfridge AFB,MI,1,,,1680,,,"many round white objects fly straight and level, very fast"
520727,Ann Arbor,MI,1,,,,,,"Biologist reported ""flotilla"" of rocket-like UFOs. [UFOE, VI]"
520727 (http://www.nicap.org/520726wnsdir.htm),Washington,DC,1,,,,,,"At 7:30 p.m. Both Air  Force  personnel and National Airport employees observeda large round object reflecting sunlight as it hovered over the U.S. CapitolBuilding."
520727,Witchita Falls,TX,1,,,1684,,,2 disc-shaped objects illuminated by a phosphorus light
520727 (http://www.nicap.org/520727manhattanbeach_dir.htm),Manhattan Beach,CA,1,D,5,BBU,,,Large Object Separates Into 7 Discs
520727-28 (http://www.nicap.org/pent520727dir.htm),Washington (The Pentagon),DC,1,,,,,,"At 2000 hours July 27 and 0200 hours July 28, 1952, Mrs. XXXXXXX  observeda white light immediately over the Pentagon, then it made a direct descent towardthe Pentagon, stopped and veered off."
520728,Hallock,MN,2,,,BBU,,,(FUFOR Index)
520728-29 (http://www.nicap.org/520729dir.htm),Port Huron  (20 miles W of),MI,9,,5,BBU,,,Jets vectored to UFO during ECM exercise
520728,Heidelberg,West Germany,1,,,1700,,,saucer-shaped object having appearance of light metal
520728 (http://www.nicap.org/520728mcguire_dir.htm),McGuire AFB,NJ,9,R,5,1707,,,GCA Radar/Visual Of Blip Cluster
520728,McChord AFB,WA,1,,,1708,,,"dull, glowing, blue green ball, size of a dime at arms' length"
520728 (http://www.nicap.org/balti520728dir.htm),Baltimore,MD,1,,,,,,"FLYOBRPT. Mr. S. Robert Tralins observed 17 shooting lights moving in varieddirections at extremely high speed"
520728 (http://www.nicap.org/520729dir.htm),Central Michigan,MI,9,,5,BBU,,,Radar visual that raised eyebrows
520728 (http://www.nicap.org/520729dir.htm),Central Michigan,MI,11,,,BBU,,,"UFO by radar, target speed 550 knots"
520729 (http://www.nicap.org/520729osceola_dir.htm),Osceola,WI,9,R,5,1731,,,Clusters of Small Targets & One Large Target
520729 (http://www.nicap.org/520729osceola_dir.htm),Osceola,WI,11,,,1731,,,Clusters of Small Targets & One Large Target
520729 (http://www.nicap.org/520729losalamos_dir.htm),Los Alamos,NM,11,A,5,BBU,NC,,Jets scrambled from Kirtland
520729 (http://www.nicap.org/520729langley_dir.htm),Langley AFB,VA,9,R,5,1732,,,"2,600 MPH Target Approaches Base"
520729,"Walker AFB, Roswell",NM,1,,,BBU,NC,,sighted several high-speed discs through theodolite
520729 (http://www.nicap.org/520729losalamos_dir.htm),Los Alamos,NM,11,A,5,BBU,NC,,white object moving E to W & light-brown egg shaped object
520729,Merced,CA,1,,,1738,,,"dark, discus shaped object, trailed by a silvery light"
520729,Washington,DC,9,,5,,,,"CAA radar in the early  morning tracked 8 to 12 UFOs at a time traveling  about100-120 m.p.h. in a 10-mile arc around the Nations Capital. When an EasternAirlines  pilot  tried to check on the radar targets at CAA request at 3:00 a.m., hesaw nothing."
520729 (http://www.nicap.org/520729porthuron_dir.htm),Port Huron,MI,9,R,5,,,,"9:40 p.m. CST an Air Force radar station plotted  an unidentified target  moving at550 knots. An F-94 in the area was asked to investigate, and its airborne radarlocked onto the UFO which appeared as a bright flashing colored light. The object,showing on ground radar along with the F-94, outdistanced the interceptor."
520729,Miami,FL,8,,,,,,"Movies taken of high-speed UFO; film submitted to Air Force, never released.[UFOE, VIII]"
520729,Witchita,KS,1,,,1739,,,bright white circular object with a flat bottom fly very fast
520729 (http://www.nicap.org/520729albuquerque_dir.htm),Albuquerque,NM,1,D,5,,,,Air Force reserve colonel at Los Alamos saw a strange ellipse shaped light
520729 (http://www.nicap.org/520729ennis_dir.htm),Ennis,MT,8,I,5,1747,,,Twelve Witnesses Observe Discs / Movies & Stills Taken (BBU 1747)
520730,Atlanta,GA,1,,,BBU,,,(FUFOR Index)
520730,Albuquerque,NM,1,,,1755,NC,,stationary orange light. No further details in files
520730 (http://www.nicap.org/520730keesler_dir.htm),Keesler AFB,MS,9,R,5,,,,PPI Scope Of CPS-5 Tracks Slow Target
520730 (http://www.nicap.org/sanantonio520730dir.htm),San Antonio,TX,1,,,1758,,,"round, white object fly slow then speed away"
520730,"Holloman AFB, Alamogordo",NM,1,,,BBU,NC,,(FUFOR Index)
520731,Yokota AFB (15 miles E of),Japan,11,,,BBU,,,"pilot saw object at 7,000 ft off their left"
520800,Washington County (Skylight Mtn.),AR,1,,,BBU,,,Inverted tin colored saucers
520731,Yaak (near),MT,9,,,,,,"This entry has the incorrect date. Go the the entry for Sept 1, 1952"
520800 (http://www.nicap.org/5208xxfallschurch_dir.htm),Falls Church,VA,1,D,5,,,,"Rotating light UFO seen by ground observers, including police."
520801 (http://www.nicap.org/520801troy_dir.htm),Troy (near),OH,9,R,5,BBU,,,Gun Camera R/V Case
520801,Sharonville,OH,1,,,,,,"Brilliant white disc observed at low altitude. Others reported oval object. [UFOE,XII]"
520801,Albuquerque,NM,1,,,,,,"At 9:50 p.m. a Scripps-Howard  reporter saw a cluster of glowing white objectsoverhead"
520801,Lancaster,CA,1,,,1771,,,2 brilliant red lights hovering and maneuvering
520801 (http://www.nicap.org/520801troy_dir.htm),Dayton (WPAFB),OH,9,,5,BBU,,,gun-camera photos Smith/Hemer Case (M)
520801 (http://www.nicap.org/520801troy_dir.htm),Bellefontaine,OH,9,R,5,BBU,,,AF F-86's Smith/Hemer Case (M)
520801 (http://www.nicap.org/vincennes.htm),Vincennes,IN,1,,,,,,Three men witness maneuvering disc
520802,Lake Charles,LA,1,,,1783,,,red ball with blue flame tail fly straight and level
520802 (http://www.nicap.org/lubbock520802dir.htm),Lubbock,TX,1,,,,,,"five civilian men observed a metallic looking spherical shaped object hanging inthe air. The only apparent movement was a quivering motion."
520802,Houlton,ME,1,,,BBU,,,saw 21 objects traveling 200-600 mp
520803 (http://www.nicap.org/520803truth_dir.htm),Truth or Consequences,NM,1,D,5,BBU,NC,,3 light green cylindrical objects hovering at 45° elevation
520803 (http://www.nicap.org/520803hamilton_dir.htm),Hamilton AFB,CA,9,R,5,BBU,,,"August 3, 1952; Hamilton AFB, California, G,V"
520804 (http://www.nicap.org/phoenix520808dir.htm),Phoenix,AZ,1,,,1812,,,yellow ball which lengthened and narrowed to plate shape
520804 (http://www.nicap.org/520804mtvernondir.htm),Mount Vernon,NY,1,,,1813,,,"object, shaped like a lifesaver or donut emitting black smoke from its top"
520805,Baltimore,MD,1,,,,,,"Experienced amateur astronomer observed two copper-like discs. [UFOE, VI]"
520805,Huacho (between Lima and),Peru,1,,,BBU,,,3 saucer-shaped objects in a V-formation maneuver
520805 (http://www.nicap.org/520805haneda_dir.htm),Haneda AFB,Japan,9,R,5,1827,,,F-94 Pilots Tracked Object For 90-Seconds
520805 (http://www.nicap.org/520805haneda_dir.htm),Haneda AFB,Japan,11,,,1827,,,dark shape with a light flew as fast as 330 knots (M)
520805-06 (http://www.nicap.org/520805washington_dir.htm),Washington,D.C.,9,R,5,,,,Up to 10 Targets On Radar
520806 (http://www.nicap.org/520806andrews_dir.htm),Andrews AFB,MD,9,R,5,,,,Several Targets Over Andrews AFB
520806,Tokyo,Japan,1,,,1841,,,Continuation of Haneda AFB sightings. (NARA)
520806,Belleville,MI,1,,,1843,,,Military witness(es) (NARA)
520806 (http://www.nicap.org/520806portaustin_dir.htm),Port Austin,MI,9,R,5,1845,,,FPS-3 Radar Tracks Objects At 1200 Knots
520806-07,Port Lyautey,Fr. Morocco,1,,,BBU,,,brilliant white disc-shaped luminous object with red blinking light
520806-07,Kerkrade,Holland,1,,,,,,"Marine engineer designer saw two disc-shaped objects with superstructures.[UFOE, X]"
520807 (http://www.nicap.org/520807sanantondir.htm),San Antonio,TX,1,,,1855,,,4 glowing white discs
520808,Warren AFB,WY,1,,,BBU,,,object immediately stop without appearing to decelerate
520809 (http://www.nicap.org/520809SEkoreadir.htm),Pohang (K-3 area E of),Korea,9,R,5,BBU,,,fireball with stream of flame pass an aircraft
520809 (http://www.nicap.org/pohang520809dir.htm),Pohang (K-3 area E of),Korea,11,,,BBU,,,fireball with stream of flame pass an aircraft
520809,Lake Charles AFB,LA,1,,,1870,,,"disc-shaped object fly S at 5,000 ft at high speed"
520810,In airspace over,Japan,1,,,BBU,,,"object moving down from 8,000 to 1,500 ft then hovering and vanishing"
520811,Hampton,VA,1,,,BBU,,,series of 7 yellowish-orange low-flying objects climb away
520811 (http://nicap.org/rockford520811dir.htm),Rockford,IL,1,,,,,,"Fifty - four ""flying saucers"" were sighted streaking over Rockford Sunday eveningby at least 14 persons"
520812,Cape May (near),NJ,1,,,BBU,,,stationary glowing object lose brightness and diminish in size
520812,Big Spring,TX,11,,,BBU,,,"light flying at 500 mph and 15,000 ft pass his aircraft"
520812,Wink (70 miles W of),TX,1,,,BBU,,,several pie-pan-shaped aluminum colored objects
520813,Tokyo,Japan,1,,,1889,,,"orange light fly a left orbit at 8,000 ft and 230 mph"
520813,Dallas,TX,11,,,,,,Jacoby/McNaulty (AL)
520813,Tucson,AZ,11,,,,,,Stanley Case (M)
520813 (http://www.nicap.org/520813washington_dir.htm),Washington,D.C.,9,R,5,,,,Multiple Targets C
520817,Athens,GA,1,,,BBU,,,an intensely bright bright white round object hovering
520817,Abilene,TX,1,,,BBU,,,oblong polished metal object climbing at 500 mph
520818 (http://www.nicap.org/520818duncanville_dir.htm),Duncanville,TX,9,R,5,,,,Lights Tracked By Ground Radar (R/V)
520818,Fairfield,CA,1,,,1920,,,object change color from red green-orange-blue
520818 (http://www.nicap.org/scoutmasdir.htm),West Palm Beach (near),FL,6,,,,,,"August 18, 1852; near West Palm Beach, FL. ""Desvergers Case"", ""ScoutmasterCase""."
520819,Boron,CA,1,,,1928,,,"GOC Observer saw 2 objects, shaped like fat bullets"
520819,Red Bluff,CA,11,,,1928,,,USAF pilot saw tailess object
520820,Neffesville,PA,2,,,1938,,,undescribed object flying at 500 ft altitude
520820 (http://www.nicap.org/520820congaree_dir.htm),Congaree AFB,SC,9,R,5,,,,"ADC Tracks Object At 4,000 MPH"
520820,Dayton (WPAFB),OH,8,,,,,,"August 20, 1952; WPAFB, Ohio, gun-camera photos"
520821,Dallas,TX,1,,,1944,,,3 blue-white lights hover then descend
520822 (http://www.nicap.org/520822ontario_dir.htm),Ontario,CA,11,A,5,BBU,,,Two Teardrop-Shaped Objects Cross Flight Path
520822,Elgin,IL,1,,,,,,"USAF jets, guided by Ground Observer Corps, chased a pulsating yellowish light.[UFOE, VII]"
520823,Sinuiju,North Korea,1,,,BBU,,,orange-red cigar-shaped object
